Species_Code;Species_Name;French_Name;Order;Family;Category;Species_Code_SAMM;SS_Group_OWFSOMM;Group_OWFSOMM;Color
MOLMOL;Mola mola;Poisson lune;Tetraodontiformes;Molides;AUTRES ESPECES;MOLMOL;Fish;Sunfish;#a6b1e1
GROPER;Chelidonichthys lucerna;Grondin perlon;Scorpaeniformes;Triglides;AUTRES ESPECES;GROPER;Fish;Fish;#a6b1e1
LARFIS;Osteichiens;Grand poisson ind.;Poisson;Poisson;AUTRES ESPECES;LARFIS;Fish;Large fish;#a6b1e1
SMAFIS;Osteichiens /;Petit poisson ind.;Poisson;Poisson;AUTRES ESPECES;SMAFIS;Fish;Fish;#a6b1e1
THOSPP;Thunnus sp;Thon sp;Perciformes;Scombrides;AUTRES ESPECES;THOSPP;Fish;Large fish;#a6b1e1
THUSPP;Thunnus spp. / Sarda spp.;Thon / Bonite;Perciformes;Scombrides;AUTRES ESPECES;THUSPP;Fish;Large fish;#a6b1e1
THUTHY;Thunnus thynnus;Thon rouge;Perciformes;Scombrides;AUTRES ESPECES;THTHY;Fish;Large fish;#a6b1e1
FISHSP;Pisces sp;Poisson (grand ou banc);NA;NA;AUTRES ESPECES;FISH;Fish;Large fish;#a6b1e1
MEDUSE;Meduse sp;Meduse sp;NA;NA;AUTRES ESPECES;JELLY;Jellyfish;Jellyfish;#a6b1e1
RAISPP;Rajomorphii sp;Raie sp;NA;NA;AUTRES ESPECES;RAYSPP;Ray;Other;#a6b1e1
REQSPP;Selachimorpha sp;Requin sp;NA;NA;AUTRES ESPECES;SHARK;Shark;Shark;#a6b1e1
PRIGLA;Prionace glauca;Requin peau bleue;Carcharhiniformes;Carcharhinides;AUTRES ESPECES;PRIGLA;Shark;Shark;#a6b1e1
LAMNAS;Lamna nasus;Requin-taupe;NA;NA;AUTRES ESPECES;LAMNAS;Shark;Shark;#a6b1e1
PLANCTON;Plancton;Plancton;NA;NA;AUTRES ESPECES;PLANCTON;Plancton;Other;#a6b1e1
AVESPP;Oiseaux spp;Aves sp;NA;NA;GENRE OISEAU;BIRSPP;Bird;Other bird;#acb0bd
AEDSPP;Ardea sp;Ardeide sp;Pelecaniformes;Ardeides;ESPECE OISEAU;ARDSPP;Heron;Other bird;#acb0bd
ARALB;Ardea alba;Grande Aigrette;Pelecaniformes;Ardeides;ESPECE OISEAU;ARDALB;Heron;Other bird;#acb0bd
BUIBI;Bubulcus ibis;Heron garde boeufs;Pelecaniformes;Ardeides;ESPECE OISEAU;BUBIBI;Heron;Other bird;#acb0bd
ARCIN;Ardea cinerea;Heron cendre;Pelecaniformes;Ardeides;ESPECE OISEAU;ARDCIN;Heron;Other bird;#acb0bd
PLLEU;Platalea leucorodia;Spatule blanche;Pelecaniformes;Threskiornithides;ESPECE OISEAU;PLALEU;Other bird;Other bird;#acb0bd
EGGAR;Egretta garzetta;Aigrette garzette;Pelecaniformes;Ardeides;ESPECE OISEAU;EGRGAR;Heron;Other bird;#acb0bd
APAPU;Apus apus;Martinet noir;Apodiformes;Apodides;ESPECE OISEAU;APUAPU;Other bird;Other bird;#acb0bd
HIRSPP;Hirundo spp;Hirondelle sp;Passeriformes;Hirundinides;GENRE OISEAU;HIRSPP;Passerine;Other bird;#acb0bd
